video_id,block_index,start_sec,end_sec,n_frames,subject,attribute,feature_mode
P005_S00,46,34.3125,35.0625,3,0.9157006608542693,-0.017363786697387695,whole_frame
P005_S00,47,35.0625,35.8125,3,0.9163923082913942,-0.017193153500556946,whole_frame
P005_S00,48,35.8125,36.5625,3,0.9189962351056351,-0.014760643243789673,whole_frame
P005_S00,49,36.5625,37.3125,3,0.9082858724710549,-0.009038478136062622,whole_frame
P005_S00,50,37.3125,38.0625,3,0.893169979719042,-0.008941873908042908,whole_frame
P005_S00,51,38.0625,38.8125,3,0.9272168005772754,-0.021588847041130066,whole_frame
P005_S00,52,38.8125,39.5625,3,0.9035602302981223,-0.016822203993797302,whole_frame
P005_S00,53,39.5625,40.3125,3,0.9139007125819327,-0.016057133674621582,whole_frame
P005_S00,54,40.3125,41.0625,3,0.9084167715092984,-0.016007348895072937,whole_frame
P005_S00,55,41.0625,41.8125,3,0.9134025336987316,-0.011889815330505371,whole_frame
P005_S00,56,41.8125,42.5625,3,0.9002812818662538,-0.01006518304347992,whole_frame
P005_S00,57,42.5625,43.3125,3,0.8996003863480218,-0.01172637939453125,whole_frame
P005_S00,58,43.3125,44.0625,3,0.8943204426634674,-0.00843249261379242,whole_frame
P005_S00,59,44.0625,44.8125,3,0.8984345270576235,-0.006968989968299866,whole_frame
P005_S00,60,44.8125,45.5625,3,0.9028494576173173,-0.01551923155784607,whole_frame
P005_S00,61,45.5625,46.3125,3,0.8897909446065142,-0.013511508703231812,whole_frame
P005_S00,62,46.3125,47.0625,3,0.8939719604033498,-0.016383543610572815,whole_frame
P005_S00,63,47.0625,47.8125,3,0.8956146578557788,-0.009967416524887085,whole_frame
P005_S00,64,47.8125,48.5625,3,0.905863410666542,-0.01096317172050476,whole_frame
P005_S00,65,48.5625,49.3125,3,0.906428688996131,-0.011057987809181213,whole_frame
P005_S00,66,49.3125,50.0625,3,0.9031837088358305,-0.008406147360801697,whole_frame
P005_S00,67,50.0625,50.8125,3,0.8747354494584589,-0.016439586877822876,whole_frame
P005_S00,68,50.8125,51.5625,3,0.9265826984563662,-0.011779427528381348,whole_frame
P005_S00,69,51.5625,52.3125,3,0.9189140275739573,-0.01041807234287262,whole_frame
P005_S00,70,52.3125,53.0625,3,0.8978148116114929,-0.006716981530189514,whole_frame
P005_S00,71,53.0625,53.8125,3,0.9112413791785535,-0.006859540939331055,whole_frame
P005_S00,72,53.8125,54.5625,3,0.895088205889841,-0.008866369724273682,whole_frame
P005_S00,73,54.5625,55.3125,3,0.9055839839345003,-0.008948326110839844,whole_frame
P005_S00,74,55.3125,56.0625,3,0.8916312305805058,-0.008656322956085205,whole_frame
P005_S00,75,56.0625,56.8125,3,0.8916826170576397,-0.008080855011940002,whole_frame
P005_S00,76,56.8125,57.5625,3,0.9092099231043002,-0.010504797101020813,whole_frame
P005_S00,77,57.5625,58.3125,3,0.9013078934685111,-0.012880146503448486,whole_frame
P005_S00,78,58.3125,59.0625,3,0.891852267965343,-0.013319671154022217,whole_frame
P005_S00,79,59.0625,59.8125,3,0.8874954654952804,-0.010587185621261597,whole_frame
P005_S00,80,59.8125,60.0,3,0.8994553793229059,-0.011596500873565674,whole_frame
P016_S00,0,0.0,0.5625,3,0.9927594398482262,0.033511072397232056,whole_frame
